has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,1,0,0,1,1,1,1,1,0,0,6,0,0,0,0,0,0,1,3,2,16,0,1,1,180,0,0,1,2,0,0,1,0,1,0,3,0,0,0,0,0,0,https://cloudflare-ipfs.com/ipfs/bafkreihusubs4i5ayiy74q2o6h3zdygx74hg5iyvh5m6vn22ycepr3iggu/,1
1,1,1,0,0,1,1,0,1,0,0,6,3,0,37,5,0,0,1,0,7,14,0,0,0,1438,0,47,2,77,0,0,1,0,0,1,5,0,0,0,0,2,0,https://cloudflare-ipfs.com/ipfs/bafkreib2lpxeelrl536rnuvx3cqahydsafq4rhx2l4nrbo633pzzqnxufa/,1
1,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,3,3,36,0,1,0,451,1,2,0,8,0,0,1,0,0,0,5,0,0,0,0,7,0,https://cloudflare-ipfs.com/ipfs/bafkreib2lpxeelrl536rnuvx3cqahydsafq4rhx2l4nrbo633pzzqnxufa,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vSpjda760dY9gS6EFZ3b2Zoh_r2iZG9LZ4VLaZBM4YwVM82sXpq4001_i2HHbsAAt6Eb18d30NKiQXm/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,35,0,0,0,149,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vR9xgLwnSbIWlrXR-3XEgCyEEOslGtE1cAsulelBrUUeROhyzKJUfTCh5eKVY9LY2_2DFwt4IxgPSSM/pub?start=false&amp;loop=false&amp;delayms=1000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,38,0,0,0,152,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQb00Lz_OU0SZh5IBNEmP_X9YFc9ntE--f_r2vmgOxWMo7Z2hR4KhgTGv6JdaT8TZQvG_jnGbQ7aASB/pub?start=false&loop=false&delayms=3000&slide=id.p%3E,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,25,0,0,0,139,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vSK1qp1PR1bqw3F-gKbQjxEZDNgy4fcl43MmZxg88Wpxjo8jstFcSl2KyddtEl6sG0uzQyAI2JPPw2I/pub?start=true&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,38,0,0,0,152,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQb00Lz_OU0SZh5IBNEmP_X9YFc9ntE--f_r2vmgOxWMo7Z2hR4KhgTGv6JdaT8TZQvG_jnGbQ7aASB/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,33,0,0,0,147,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vRdp1UxZdHNX1WGuRS6Ep_kb44nG-G0jxG0xgQ6ZbJsFMzdtf9xkEAb8IL0qsczacR_KftzCsYD6XY1/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQz88Xv77auGTr747SNuuiC74Y--kCm0kVeopwUZ-lPemolcJUuK1Yi0ddd2O_cIfEo85kY0LNVOsDe/pub?start=false&loop=false&delayms=3000&slide=id.p%3E,1
1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,12,7,16,56,0,0,1,2857,1,24,9,92,0,0,0,0,0,0,3,1,0,0,0,4,0,http://tinyurl.com/645UISIUHE#?https://bradesco.com.br,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vSWcvTTeWEThfs5Oq5qIKhWKvBEdwRBmcFTphbH4gdfUZjP0z8k4pzN8WaLzZ5XvnPpa_SkYkagPXeH/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQr8TnSmGtnCsniPND7P0pFYraxYRXBVBHRHIjNqEKEJheAVw5v-hr_LbIMay92pjK6WAWiDfdLx16G/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,26,0,0,0,140,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQmWbj-jSXzjUyr0dYOSQP3_ulvOZxGHKwaV02zP_yNMEINLmE-fYV8dwdW-7j7LUUOKeu_1BVs8H5T/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQ7EoOh181-FC4tCxNvydZpYRwZPkWLIJMrO0BkWzg9B6-SqYVfPDTYdjdoyH8z1DOn0RvcZU51yTw1/pub?start=false&loop=false&delayms=3000&slide=id.p,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQ7EoOh181-FC4tCxNvydZpYRwZPkWLIJMrO0BkWzg9B6-SqYVfPDTYdjdoyH8z1DOn0RvcZU51yTw1/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,26,0,0,6,16,15,18,0,1,1,4311,1,56,18,73,0,1,0,0,0,0,21,1,0,0,0,1,0,https://t.ly/7q0Vf,1
1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,12,7,16,56,0,0,1,2857,1,24,9,92,0,0,0,0,0,0,3,1,0,0,0,4,0,http://tinyurl.com/645UISIUHE,1
1,1,1,0,0,1,0,0,0,0,0,1,3,0,0,59,0,0,11,55,8,68,1,1,1,22706,2,63,35,608,1,1,1,0,0,1,18,1,0,0,0,46,0,https://kernel.guru/m6BIo,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,26,1,0,0,243,0,3,1,15,1,1,0,0,0,0,4,0,0,0,0,0,0,https://foxwilmar.com,1
1,1,0,0,1,1,1,1,1,0,0,6,0,0,0,0,0,0,1,3,2,16,0,1,0,120,0,0,1,2,0,0,1,0,1,0,3,0,0,0,0,0,0,https://cloudflare-ipfs.com/ipfs/QmcbhWam1Eb8KVo3tmooZisWMJPtF7t5C9toyAtMvLmE7Q?filename=fass.html,1
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,26,0,0,6,16,15,18,0,1,1,4311,1,56,18,73,0,1,0,0,0,0,21,1,0,0,0,1,0,https://t.ly/rjwFF#,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,11,68,1,0,0,379,0,0,0,3,0,0,0,0,1,0,14,0,0,0,0,0,0,https://dynmedia.uk/.well-known/acme-challenge/WeTransfer.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://cloudflare-ipfs.com/ipfs/bafybeiecphfgmw2xexawfiqdfg7lyapfzuqrrl7oujd2ob2k4vnnp6i5lu,1
1,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,3,3,36,0,1,0,451,1,2,0,8,0,0,1,0,0,0,5,0,0,0,0,7,0,https://bafybeiecphfgmw2xexawfiqdfg7lyapfzuqrrl7oujd2ob2k4vnnp6i5lu.ipfs.cf-ipfs.com,1
1,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,3,3,36,0,1,0,451,1,2,0,8,0,0,1,0,0,0,5,0,0,0,0,7,0,https://bafybeiecphfgmw2xexawfiqdfg7lyapfzuqrrl7oujd2ob2k4vnnp6i5lu.ipfs.cf-ipfs.com/,1
1,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,3,3,36,0,1,0,451,1,2,0,8,0,0,1,0,0,0,5,0,0,0,0,7,0,https://cf-ipfs.com/ipfs/QmX7yRTWydGcqStBxsWKDg7ZgTUDjLsQ9ufUMGFynuL2XN,1
1,1,1,0,0,0,1,1,1,0,0,7,1,0,83,3,0,0,0,4,6,25,1,0,0,898,0,6,1,27,0,1,1,0,0,0,5,0,0,0,0,6,0,http://43.130.2.163/ServiceLogin?continue=https://accounts.google.com/&amp;followup=https://accounts.google.com/&amp;passive=1209600,1
1,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,3,3,36,0,1,0,451,1,2,0,8,0,0,1,0,0,0,5,0,0,0,0,7,0,https://lngdirect.clientes-alertas.com/login,1
1,1,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,8,0,49,16,0,0,0,276,0,1,2,52,0,1,1,0,0,1,18,0,0,0,0,6,0,https://orange234.wixsite.com/my-site,1
1,1,1,0,1,1,0,0,1,0,0,8,1,0,0,0,0,1,7,0,24,8,0,1,0,378,0,4,2,46,0,0,1,0,0,1,7,0,0,0,0,13,1,https://abdvvbbgcbgcv.weebly.com/,1
1,1,1,0,1,1,0,0,1,0,0,8,1,0,0,10,0,1,12,0,24,4,0,1,0,573,0,14,2,56,0,0,1,0,0,1,7,0,0,0,0,12,1,https://ejhfbwezain.weebly.com/,1
1,1,1,0,1,1,0,0,1,0,0,9,1,0,0,2,0,1,14,0,26,4,0,1,0,426,0,6,2,56,0,0,1,0,0,1,7,0,0,0,0,15,1,https://admincollector.weebly.com/,1
1,1,1,0,1,1,0,0,1,0,0,8,1,0,0,0,0,0,13,0,24,3,0,1,0,290,0,4,2,35,0,0,1,0,0,1,7,0,0,0,0,12,0,https://maialjp.weebly.com/,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,13,0,0,0,0,62,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,https://abv-103885.weeblysite.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,48,1,0,0,210,0,1,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,https://wwwvocalappulste888.ukit.me/,1
0,1,0,0,0,1,0,0,1,0,0,13,0,0,0,0,0,0,5,0,8,0,0,0,0,354,0,23,7,91,0,0,0,0,0,0,19,0,0,0,0,5,0,https://www.mizuhobsank.top/,1
1,1,1,0,1,1,0,0,1,0,0,12,2,0,0,6,0,0,12,2,11,5,1,0,0,702,1,3,5,24,0,0,1,0,1,1,6,0,0,0,0,2,0,https://cgb.pages.dev/,1
1,1,1,0,0,1,1,1,1,0,0,4,2,0,0,0,0,0,1,1,3,10,1,0,0,407,0,1,2,9,0,0,0,0,0,0,3,0,0,0,0,1,0,https://pub-6d41669f740a4cd4b32e43e38bde70f6.r2.dev/windex.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://pub-2f7ab88548e1475ab7333b07e1481927.r2.dev/hr-owa.html,1
1,1,1,0,0,1,1,0,1,0,0,4,2,0,0,0,0,0,1,3,3,47,1,0,0,369,2,7,3,40,0,1,0,0,0,0,3,0,0,0,0,17,0,https://pub-606ae465ae6543a4a6f9f5ba82186af6.r2.dev/dd.html,1
1,1,1,0,1,1,0,0,1,0,0,12,2,0,0,6,0,0,12,2,11,5,1,0,0,702,1,3,5,24,0,0,1,0,1,1,6,0,0,0,0,2,0,https://you-coa.pages.dev/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vRsIXB_nzmDxGzlLxP258EGYI7MGZ-oLJFhhPDcrYXx9R3uFHaJ1M0N2271oNYKrB4ZpyxTu_0fkwEj/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vScnQE2HXMJ3ptIAjVJvWw70__MqlVL0-5mc0yDDZQBG_O5ul3YtQdtuGW7yGFylO-2i2yGzvOY2O7S/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQZwvOCxsygK-vg5OCEYV4_TD7BY-DpdRQ059IkNO3to2e5uGxxImmdx-MgT13y9GByy6dR9hTqxHMT/pub?start=false&amp;loop=false&amp;delayms=3000,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://pub-07116cf802b841148cc4dac8eb3af312.r2.dev/index.html,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vRmVODEl2jlDG8HzU7OViz_I1-ZARRcU8DPsOXMGKk8icFWDFJjpUVHZKUiC6psZydXovF7QGwtuqt_/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,26,0,0,0,140,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vRknTXLnK1ojjodS-vbsXu8TYyO3j-7BmPomCBgdK6mpwTcPXDXN9ahVQYvSX1c6mXNUVmSvsjO1Qpm/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1
1,1,0,0,1,1,1,0,0,0,0,4,0,0,3,0,0,5,2,0,3,25,1,0,0,172,0,2,1,9,0,0,1,0,0,1,4,0,0,0,0,1,1,https://mmibra.000webhostapp.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,38,0,0,0,152,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vTRH50zqGFUM9NfEuicqgn50anxNygplOL1amqyNeCTUfQnGzYkGyusw7fsYDAdA4GBXugLNqM_Qe6j/pub?start=false&loop=false&delayms=3000&slide=id.p%3E,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,38,0,0,0,152,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vTRH50zqGFUM9NfEuicqgn50anxNygplOL1amqyNeCTUfQnGzYkGyusw7fsYDAdA4GBXugLNqM_Qe6j/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vQv21qNKeNeyIMwbIZGaFA7dsdZ3K0JvDdBYjuyUGrldkGelSc_beocYIjeA-p7MBCUU-W3DyNh4cgm/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,26,0,0,0,46,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://omavero-fi.pages.dev/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,182,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,https://embfuouptjv.web.app/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,182,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,https://embfuouptjv.firebaseapp.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://gulfcoastapp-j1.web.app/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://gulfcoastapp-j1.firebaseapp.com/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://lallhavdec.web.app/,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,https://lallhavdec.firebaseapp.com/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,183,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,https://zakomapoosnhhs.web.app/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,183,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,https://zakomapoosnhhs.firebaseapp.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://uspp.usspuf.top/pg?do=index,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vS1sYYAC4S1eL-lG1Vv9nYyL5DzhdXiMNIeAJwXJqfIlpI6Nrex1KnbRS1gbX_igBFnl2Yhl77j4PUC/pub?start=false&loop=false&delayms=3000,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://uspa.usspdf.top/pg?do=index,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://usp.usspnp.top/pg?do=index,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://usp.usspnh.top/pg?do=index,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://usp.usspmv.top/pg?do=index/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://usps.mytrackingeg.top/,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,37,0,0,0,151,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,https://docs.google.com/presentation/d/e/2PACX-1vS1sYYAC4S1eL-lG1Vv9nYyL5DzhdXiMNIeAJwXJqfIlpI6Nrex1KnbRS1gbX_igBFnl2Yhl77j4PUC/pub?start=false&amp;loop=false&amp;delayms=3000,1
1,1,1,0,0,1,0,0,1,0,0,3,1,0,0,4,0,0,5,6,11,37,1,1,0,1221,0,3,3,34,0,0,1,0,1,1,1,0,0,0,0,2,0,https://meinkonto.telekom-dienste.de/wiederherstellung/passwort/auswahl.xhtml,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://autoiothiatowers.firebaseapp.com/%3ferr%3dkftbrbu2u5504ixq9hopibsd3gtwf56wo3qkul8wnto3dxcv4t5jhrqcm9hgiodhfxw2mwxdzpoor1biy11bcypvb0pnmlufaigm994fa4tyggsvcyaz16jtx2zmlvw64qweanhyig3sz2xmdqb8fhzne2kq0zx7ekpabigo7bolvs7qv9exgpcxy37iqe4evt8ztx8fszvec8ji01eqgerw2hnzwijubmh2jvtg%26dispatch%3d4e6ie2dd80b39779ak523hbgb554g1%26id%3d125e3783d51c?err=forLF0gcar9cp2tIjTTofJg2mHnd5&err=forLF0gcar9cp2tIjTTofJg2mHnd5&dispatch=e7e4k81d557aa637kg94726151g763&id=66a37aafai5jfbk66j2697f5jgkdhj9k5i144a34ag0ac,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,35,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,http://spot.securecode-auth.com/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://jbbinvestments.com.pg/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://cassonhomes.pages.dev,1
